CIP_Sample_Code	UCD_Sample_Code	UCD_Sample_Numeric	Non_inducer	Inducer	Monica_ploidy	KRA_Background_Ploidy	Monica_KRA_ploidy_concordant	KRA_aneuploidy_notes	Predicted_chrom_number	Parent_assoc_aneuploidy	Phureja_marker_phenotype	Other notes	numerical_aneuploidy	broken_chromosome
CIP516020.010	MM920	920	WA077	PL4	2x	2x	TRUE	clean	24	NA	putDH	NA	.	.
CIP516020.011	MM921	921	WA077	PL4	2x	2x	TRUE	clean	24	NA	putDH	NA	.	.
CIP516020.012	MM922	922	WA077	PL4	2x	2x	TRUE	clean	24	NA	putDH	NA	.	.
CIP516020.013	MM923	923	WA077	PL4	2x	2x	TRUE	clean	24	NA	putDH	NA	.	.
CIP516020.014	MM924	924	WA077	PL4	2x	2x	TRUE	clean	24	NA	putDH	NA	.	.
CIP516020.015	MM925	925	WA077	PL4	2x	2x	TRUE	clean	24	NA	putDH	NA	.	.
CIP516020.016	MM926	926	WA077	PL4	2x	2x	TRUE	clean	24	NA	putDH	NA	.	.
CIP516020.017	MM927	927	WA077	PL4	2x	2x	TRUE	clean	24	NA	putDH	NA	.	.
CIP516020.018	MM928	928	WA077	PL4	2x	2x	TRUE	clean	24	NA	putDH	NA	.	.
CIP516020.019	MM929	929	WA077	PL4	2x	2x	TRUE	clean	24	NA	putDH	NA	.	.
CIP516020.020	MM930	930	WA077	PL4	2x	2x	TRUE	clean	24	NA	putDH	NA	.	.
CIP516020.021	MM931	931	WA077	PL4	2x	2x	TRUE	2x+2S.2L	25	non-inducer	putDH	NA	numerical	.
CIP516015.001	MM932	932	LR00014	IVP101	4x	4x	TRUE	clean	24	NA	PM	NA	.	.
CIP516015.002	MM933	933	LR00014	IVP101	4x	4x	TRUE	clean	24	NA	PM	NA	.	.
CIP516015.003	MM934	934	LR00014	IVP101	4x	4x	TRUE	4x-9L	NA	inducer	PM	NA	.	broken
CIP516015.004	MM935	935	LR00014	IVP101	4x	4x	TRUE	clean	24	NA	PM	NA	.	.
CIP516015.005	MM936	936	LR00014	IVP101	4x	4x	TRUE	clean	24	NA	PM	NA	.	.
CIP516015.006	MM937	937	LR00014	IVP101	4x	4x	TRUE	clean	24	NA	PM	NA	.	.
CIP516015.007	MM938	938	LR00014	IVP101	4x	4x	TRUE	4x-10S.10L	NA	NA	PM	shatter watch	.	broken
CIP516015.008	MM939	939	LR00014	IVP101	4x	4x	TRUE	clean	24	NA	PM	NA	.	.
CIP516015.009	MM940	940	LR00014	IVP101	4x	4x	TRUE	4x-complex1	NA	NA	PM	shatter watch	.	broken
CIP516015.010	MM941	941	LR00014	IVP101	3x	3x	TRUE	clean	24	NA	PM	NA	.	.
CIP516015.011	MM942	942	LR00014	IVP101	4x	4x	TRUE	clean	24	NA	PM	NA	.	.
CIP516006.020	MM943	943	LR00014	IVP35	3x	NA	NA	clean	24	NA	PM	recheck when I have better SNPs	.	.
CIP516006.021	MM944	944	LR00014	IVP35	4x	NA	NA	4x-3L	NA	NA	PM	recheck when I have better SNPs	.	broken
CIP516006.022	MM945	945	LR00014	IVP35	3x	NA	NA	clean	24	NA	PM	recheck when I have better SNPs	.	.
CIP516006.023	MM946	946	LR00014	IVP35	4x	NA	NA	clean	24	NA	PM	recheck when I have better SNPs	.	.
CIP516006.024	MM947	947	LR00014	IVP35	4x	NA	NA	clean	24	NA	PM	recheck when I have better SNPs	.	.
CIP516006.025	MM948	948	LR00014	IVP35	4x	NA	NA	4x-12L	NA	NA	PM	recheck when I have better SNPs	.	broken
CIP516006.026	MM949	949	LR00014	IVP35	3x	NA	NA	clean	24	NA	PM	recheck when I have better SNPs	.	.
CIP516006.027	MM950	950	LR00014	IVP35	4x	NA	NA	4x-3L-7L	NA	NA	PM	recheck when I have better SNPs	.	broken
CIP516006.028	MM951	951	LR00014	IVP35	3x	NA	NA	clean	24	NA	PM	recheck when I have better SNPs	.	.
CIP516006.029	MM952	952	LR00014	IVP35	4x	NA	NA	clean	24	NA	PM	recheck when I have better SNPs	.	.
CIP516006.030	MM953	953	LR00014	IVP35	4x	NA	NA	clean	24	NA	PM	recheck when I have better SNPs	.	.
CIP516006.031	MM954	954	LR00014	IVP35	4x	NA	NA	clean	24	NA	PM	recheck when I have better SNPs	.	.
CIP516006.032	MM955	955	LR00014	IVP35	4x	NA	NA	clean	24	NA	PM	recheck when I have better SNPs	.	.
CIP516006.033	MM956	956	LR00014	IVP35	2x	NA	NA	clean	24	NA	putDH	recheck when I have better SNPs	.	.
CIP516008.021	MM957	957	LR00014	PL4	2x	2x	TRUE	2x+11S.11L	25	non-inducer	putDH	NA	numerical	.
CIP516008.022	MM958	958	LR00014	PL4	2x	2x	TRUE	clean	24	NA	putDH	NA	.	.
CIP516008.023	MM959	959	LR00014	PL4	2x	2x	TRUE	clean	24	NA	putDH	NA	.	.
CIP516008.024	MM960	960	LR00014	PL4	4x	4x	TRUE	4x-4S-5S.5L-8S-9S-9S	NA	-4s inducer -5S.5L inducer -8S inducer -9S inducer -9S inducer	PM	shatter watch	numerical	broken
CIP516008.025	MM961	961	LR00014	PL4	4x	4x	TRUE	4x-3S.3L	NA	inducer	PM	shatter watch	numerical	.
CIP516008.026	MM962	962	LR00014	PL4	4x	4x	TRUE	4x-2S.2L	NA	non-inducer	PM	NA	numerical	.
CIP516008.027	MM963	963	LR00014	PL4	4x	4x	TRUE	clean	24	NA	PM	NA	.	.
CIP516008.028	MM964	964	LR00014	PL4	4x	4x	TRUE	4x-3L	NA	inducer	PM	shatter watch	.	broken
CIP516008.029	MM965	965	LR00014	PL4	4x	4x	TRUE	clean	24	NA	PM	NA	.	.
CIP516008.030	MM966	966	LR00014	PL4	4x	4x	TRUE	4x-1L-2L-12 L	NA	inducer	PM	shatter watch	.	broken
CIP315047.120	MM967	967	WA077	PL4	2x	2x	TRUE	clean	24	NA	putDH	NA	.	.
CIP315047.121	MM968	968	WA077	PL4	4x	4x	TRUE	4x-3L	NA	inducer	atiPM	shatter watch	.	broken
CIP315047.122	MM969	969	WA077	PL4	4x	4x	TRUE	4x-1S-4L-5L-6S.6L	NA	-1S inducer -4L inducer -5L inducer -6S.6L inducer	atiPM	shatter watch	numerical	broken
CIP315047.123	MM970	970	WA077	PL4	3x	2x	FALSE	clean	24	NA	PM	NA	.	.
CIP315047.124	MM971	971	WA077	PL4	4x	4x	TRUE	4x-1S.1L-3S.3L-11L	NA	-1S.1L inducer -3S.3L inducer -11L non-inducer	atiPM	shatter watch	numerical	broken
CIP315047.125	MM972	972	WA077	PL4	4x	4x	TRUE	clean	24	NA	atiPM	NA	.	.
CIP315047.126	MM973	973	WA077	PL4	4x	NA	NA	NA	24	NA	PM	withhold	.	.
CIP315047.127	MM974	974	WA077	PL4	4x	4x	TRUE	clean	24	NA	PM	NA	.	.
CIP315047.128	MM975	975	WA077	PL4	4x	4x	TRUE	clean	24	NA	PM	NA	.	.
CIP315047.129	MM976	976	WA077	PL4	4x	4x	TRUE	clean	24	NA	PM	NA	.	.
CIP315047.130	MM977	977	WA077	PL4	4x	NA	NA	NA	24	NA	PM	NA	.	.
CIP315047.131	MM978	978	WA077	PL4	4x	4x	TRUE	4x-2L	NA	-2L non-inducer	PM	NA	numerical	.
CIP315047.132	MM979	979	WA077	PL4	3x	3x	TRUE	3x+3S.3L-11S.11L	36	3S.3L non-inducer 11S.11L non-inducer	PM	NA	numerical	.
CIP315047.133	MM980	980	WA077	PL4	4x	4x	TRUE	clean	24	NA	PM	NA	.	.
CIP315047.134	MM981	981	WA077	PL4	4x	4x	TRUE	4x-1L	NA	inducer	PM	shatter watch	.	broken
