sample	unit	fq1	fq2	parhap	mother	inducer
MM1140	KFRAG_01320_b	KFRAG_01320_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1140	KFRAG_01320_c	KFRAG_01320_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1141	KFRAG_01321	KFRAG_01321.fq.gz	NaN	haploid	LR00_014	IVP35
MM1141	KFRAG_01321_b	KFRAG_01321_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1141	KFRAG_01321_c	KFRAG_01321_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1142	KFRAG_01322	KFRAG_01322.fq.gz	NaN	haploid	LR00_014	IVP35
MM1142	KFRAG_01322_b	KFRAG_01322_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1142	KFRAG_01322_c	KFRAG_01322_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1143	KFRAG_01323	KFRAG_01323.fq.gz	NaN	haploid	LR00_014	IVP35
MM1143	KFRAG_01323_b	KFRAG_01323_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1143	KFRAG_01323_c	KFRAG_01323_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1144	KFRAG_01324	KFRAG_01324.fq.gz	NaN	haploid	LR00_014	IVP35
MM1144	KFRAG_01324_b	KFRAG_01324_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1144	KFRAG_01324_c	KFRAG_01324_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1145	KFRAG_01325	KFRAG_01325.fq.gz	NaN	haploid	LR00_014	IVP35
MM1145	KFRAG_01325_b	KFRAG_01325_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1145	KFRAG_01325_c	KFRAG_01325_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1146	KFRAG_01326	KFRAG_01326.fq.gz	NaN	haploid	LR00_014	IVP35
MM1146	KFRAG_01326_b	KFRAG_01326_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1146	KFRAG_01326_c	KFRAG_01326_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1147	KFRAG_01327	KFRAG_01327.fq.gz	NaN	haploid	LR00_014	IVP35
MM1147	KFRAG_01327_b	KFRAG_01327_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1147	KFRAG_01327_c	KFRAG_01327_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1148	KFRAG_01328	KFRAG_01328.fq.gz	NaN	haploid	LR00_014	IVP35
MM1148	KFRAG_01328_b	KFRAG_01328_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1148	KFRAG_01328_c	KFRAG_01328_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1149	KFRAG_01329	KFRAG_01329.fq.gz	NaN	haploid	LR00_014	IVP35
MM1149	KFRAG_01329_b	KFRAG_01329_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1149	KFRAG_01329_c	KFRAG_01329_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1150	KFRAG_01330	KFRAG_01330.fq.gz	NaN	haploid	LR00_014	IVP35
MM1150	KFRAG_01330_b	KFRAG_01330_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1150	KFRAG_01330_c	KFRAG_01330_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1151	KFRAG_01331	KFRAG_01331.fq.gz	NaN	haploid	LR00_014	IVP35
MM1151	KFRAG_01331_b	KFRAG_01331_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1151	KFRAG_01331_c	KFRAG_01331_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1152	KFRAG_01332	KFRAG_01332.fq.gz	NaN	haploid	LR00_014	IVP35
MM1152	KFRAG_01332_b	KFRAG_01332_b.fq.gz	NaN	haploid	LR00_014	IVP35
